epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3569,1.20986,2.47409,1.48887,0.00667,1,0.83796,0.55262,0.84746,2.37072,1.32715,0.00026,0.00026,0.00026
2,8.98654,0.88447,1.44124,1.22197,0.89162,0.83333,0.94142,0.66498,0.92901,1.68402,1.42879,0.000529308,0.000529308,0.000529308
3,12.6468,0.84625,1.10206,1.1917,0.85597,0.88095,0.90442,0.62145,1.05353,1.31767,1.53028,0.000787528,0.000787528,0.000787528
4,15.2985,0.80938,1.03955,1.17599,0.76161,0.78571,0.86074,0.55285,1.17035,1.65595,1.58878,0.00103466,0.00103466,0.00103466
5,17.8837,0.85633,1.01432,1.19106,0.94059,0.71429,0.90173,0.48609,1.33002,1.4176,1.80641,0.0012707,0.0012707,0.0012707
6,20.6853,0.81613,1.02306,1.15837,0.72367,0.87307,0.87404,0.55104,1.18345,1.36273,1.65714,0.00149566,0.00149566,0.00149566
7,24.2319,0.85377,0.98352,1.15869,0.71889,0.7381,0.7423,0.43676,1.2034,1.50017,1.78285,0.00170953,0.00170953,0.00170953
8,27.8237,0.81467,0.94563,1.14134,0.81404,0.85714,0.92193,0.61177,1.24417,1.42547,1.74745,0.0017228,0.0017228,0.0017228
9,31.3597,0.81287,0.89659,1.1348,0.92494,0.88024,0.96418,0.64574,1.00918,1.0971,1.50439,0.0016832,0.0016832,0.0016832
10,33.9889,0.80608,0.89498,1.14368,0.96113,0.88095,0.95017,0.63185,1.27063,1.07767,1.78068,0.0016436,0.0016436,0.0016436
11,36.5533,0.78486,0.85097,1.12348,0.94611,0.95238,0.97496,0.71573,1.13206,1.00124,1.67739,0.001604,0.001604,0.001604
12,40.3922,0.76033,0.7976,1.10486,0.97431,0.903,0.96511,0.64638,1.09204,0.97624,1.64596,0.0015644,0.0015644,0.0015644
13,43.8174,0.72615,0.79353,1.09696,0.99019,0.95238,0.98068,0.72534,0.85561,1.05083,1.45712,0.0015248,0.0015248,0.0015248
14,46.459,0.78051,0.83614,1.1213,0.96344,0.85714,0.96904,0.76047,0.71142,0.95895,1.17772,0.0014852,0.0014852,0.0014852
15,49.0512,0.74742,0.81686,1.10112,0.88978,0.96121,0.96956,0.76966,0.73024,1.05415,1.16579,0.0014456,0.0014456,0.0014456
16,51.7773,0.71959,0.76135,1.09149,1,0.94744,0.98919,0.78996,0.81575,0.88082,1.2297,0.001406,0.001406,0.001406
17,55.5324,0.73539,0.74288,1.08581,0.94862,0.97619,0.98075,0.77682,0.77682,0.83425,1.23895,0.0013664,0.0013664,0.0013664
18,58.982,0.75151,0.73867,1.10317,0.92274,0.80952,0.93649,0.70839,0.96134,1.24255,1.5521,0.0013268,0.0013268,0.0013268
19,61.5798,0.72663,0.7042,1.09061,0.8576,0.83333,0.92806,0.62915,1.22324,1.24256,1.87719,0.0012872,0.0012872,0.0012872
20,64.1187,0.73069,0.68959,1.09278,0.88533,0.91926,0.96735,0.6943,1.1375,1.00944,1.72346,0.0012476,0.0012476,0.0012476
21,66.6703,0.681,0.66151,1.06262,0.99587,0.97619,0.9834,0.82778,0.76633,0.69338,1.31755,0.001208,0.001208,0.001208
22,70.135,0.6809,0.66179,1.0678,0.88066,0.80952,0.8819,0.54462,1.42853,1.21328,1.7927,0.0011684,0.0011684,0.0011684
23,73.7384,0.68912,0.65336,1.0752,0.97414,0.78571,0.91658,0.62772,1.28792,1.12691,1.67815,0.0011288,0.0011288,0.0011288
24,76.383,0.65848,0.61169,1.02689,0.97612,0.97324,0.9807,0.79966,0.71529,0.67325,1.24915,0.0010892,0.0010892,0.0010892
25,78.9147,0.64965,0.63248,1.06454,0.99778,0.95238,0.98352,0.80324,0.69094,0.63526,1.18768,0.0010496,0.0010496,0.0010496
26,81.5429,0.64798,0.59861,1.03693,0.98258,0.80952,0.95267,0.6963,0.93945,1.10172,1.4094,0.00101,0.00101,0.00101
27,84.7792,0.6274,0.58162,1.03947,0.95845,0.80952,0.94126,0.7085,0.91376,1.10405,1.38997,0.0009704,0.0009704,0.0009704
28,88.6997,0.64202,0.59918,1.05231,0.99567,0.95238,0.99068,0.8182,0.69125,0.65476,1.20189,0.0009308,0.0009308,0.0009308
29,91.2093,0.62912,0.58452,1.03813,0.99783,0.95238,0.9804,0.86678,0.61267,0.70464,1.12661,0.0008912,0.0008912,0.0008912
30,93.8,0.61224,0.58891,1.04467,0.99399,0.95238,0.97684,0.86539,0.62976,0.69418,1.17042,0.0008516,0.0008516,0.0008516
31,96.4581,0.61383,0.57973,1.03217,0.97376,0.97619,0.97909,0.87913,0.59663,0.64208,1.14294,0.000812,0.000812,0.000812
32,99.7164,0.58355,0.55439,1.03802,0.97369,0.97619,0.98901,0.88759,0.54333,0.6009,1.06324,0.0007724,0.0007724,0.0007724
33,103.692,0.6117,0.54805,1.02091,0.95435,0.99562,0.99361,0.86448,0.59059,0.58263,1.10085,0.0007328,0.0007328,0.0007328
34,106.298,0.59754,0.54024,1.01482,1,0.9734,0.995,0.89227,0.55226,0.59166,1.06098,0.0006932,0.0006932,0.0006932
35,108.933,0.62173,0.55344,1.05878,0.97664,0.99536,0.99453,0.88155,0.54286,0.57755,1.05605,0.0006536,0.0006536,0.0006536
36,111.548,0.57569,0.53299,1.02026,0.99742,1,0.995,0.87414,0.55795,0.58388,1.065,0.000614,0.000614,0.000614
37,114.337,0.58392,0.55577,1.03232,0.91253,0.90476,0.97155,0.78538,0.80634,0.79509,1.40413,0.0005744,0.0005744,0.0005744
38,118.683,0.56704,0.53151,1.00405,0.9326,0.98843,0.98759,0.84691,0.71882,0.67233,1.28677,0.0005348,0.0005348,0.0005348
39,121.45,0.58259,0.52836,1.0084,0.9767,0.9982,0.99058,0.89716,0.49818,0.52621,1.06026,0.0004952,0.0004952,0.0004952
40,124.121,0.58739,0.53242,1.01589,0.9767,0.99803,0.99128,0.92468,0.46852,0.49764,1.01702,0.0004556,0.0004556,0.0004556
41,128.179,0.51635,0.88974,1.04715,0.97194,0.97619,0.98015,0.83577,0.70366,0.65391,1.19339,0.000416,0.000416,0.000416
42,131.468,0.51985,0.76144,1.05962,0.97433,0.97619,0.97762,0.83574,0.68486,0.64814,1.17629,0.0003764,0.0003764,0.0003764
43,135.057,0.48483,0.65563,1.04281,0.97423,0.97619,0.97841,0.86868,0.62668,0.65932,1.13426,0.0003368,0.0003368,0.0003368
44,137.462,0.46026,0.64505,0.9968,1,0.97216,0.99409,0.90201,0.5024,0.57894,1.05496,0.0002972,0.0002972,0.0002972
45,139.769,0.47503,0.61517,1.01495,0.9767,0.99816,0.99453,0.90173,0.48,0.50738,1.04297,0.0002576,0.0002576,0.0002576
46,142.249,0.44305,0.56627,0.98778,0.9767,0.99824,0.99453,0.9098,0.44463,0.52902,1.01852,0.000218,0.000218,0.000218
47,144.744,0.45355,0.58405,0.99855,0.9767,0.99831,0.99453,0.91468,0.44311,0.5191,1.01473,0.0001784,0.0001784,0.0001784
48,148.584,0.41858,0.551,0.96898,0.97672,0.99908,0.99453,0.90782,0.45,0.47892,1.00613,0.0001388,0.0001388,0.0001388
49,151.446,0.42097,0.54712,0.97607,0.97667,1,0.99453,0.90522,0.44775,0.47324,0.99011,9.92e-05,9.92e-05,9.92e-05
50,153.857,0.41347,0.55429,0.98605,0.97593,1,0.99453,0.91307,0.4229,0.45904,0.95793,5.96e-05,5.96e-05,5.96e-05
